Producto_Detalles_Vistos,Cantidad_Actividades_Sesión,Cantidad_Artículos_En_Carro,Cantidad_Artículos_Eliminados_Carro,Cantidad_Visitas_Carro,Confirmaciones_Compra,Inicios_Pago,Vistas_Productos_Carro,Inicios_Sesión_Cliente,Vistas_Páginas,Segmento_Cliente,Abandono_Carro
Si,4,1,0,0,0,0,1,0,0,Cliente Objetivo,Si
No,38,0,0,2,0,0,2,0,2,Cliente Objetivo,Si
No,8,5,0,0,1,1,1,0,0,Cliente Leal,No
No,6,0,0,2,0,0,4,0,0,Cliente Objetivo,Si
Si,13,6,0,0,0,1,1,0,5,Cliente Leal,Si
No,14,4,1,0,1,1,1,0,0,Cliente Leal,No
No,7,1,0,1,0,1,1,0,3,Cliente Objetivo,Si
No,13,8,1,1,0,0,1,0,1,Cliente Leal,Si
No,17,4,1,1,1,2,2,1,1,Cliente Leal,No
No,20,5,10,1,0,0,1,0,2,Cliente No Segmentado,Si
No,8,2,0,1,0,2,1,0,4,Cliente Leal,Si
No,9,2,0,1,0,1,4,0,1,Cliente Leal,Si
Si,8,2,0,1,0,1,2,0,1,Cliente Leal,Si
No,3,2,0,1,0,1,2,0,0,Cliente Leal,Si
No,31,2,0,1,0,7,13,0,3,Cliente Leal,Si
Si,6,2,1,0,0,0,1,0,1,Cliente Leal,Si
Si,7,2,0,2,0,1,3,0,0,Cliente Leal,Si
No,35,2,8,6,0,2,1,1,9,Cliente No Segmentado,Si
No,8,2,0,0,0,0,2,0,3,Cliente Leal,Si
Si,6,3,0,0,0,0,1,0,1,Cliente Leal,Si
No,18,11,1,2,0,0,4,0,5,Cliente Leal,Si
No,6,2,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,6,1,0,0,0,1,2,0,2,Cliente Objetivo,Si
No,14,6,0,0,0,1,5,0,2,Cliente Leal,Si
No,14,5,0,1,1,1,0,1,2,Cliente Leal,No
No,30,3,0,11,2,4,2,0,8,Cliente Leal,No
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,7,4,0,1,0,0,1,0,0,Cliente Leal,Si
Si,13,8,0,2,0,0,2,0,0,Cliente Leal,Si
No,16,6,0,2,0,2,2,0,4,Cliente Leal,Si
Si,6,2,0,2,0,1,0,0,1,Cliente Objetivo,Si
No,6,0,0,2,0,1,0,0,2,Cliente Objetivo,Si
Si,20,0,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,12,7,0,1,0,1,1,0,2,Cliente Leal,Si
No,26,5,4,8,0,2,5,1,1,Cliente No Segmentado,Si
No,8,1,0,0,0,4,1,0,2,Cliente Objetivo,Si
No,7,1,0,1,0,2,0,1,2,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,16,1,0,1,0,0,6,0,2,Cliente Objetivo,Si
Si,3,1,0,1,0,0,0,0,1,Cliente Objetivo,Si
No,33,3,0,9,1,4,13,0,0,Cliente Leal,No
No,1,0,0,1,0,0,0,0,0,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,12,7,0,1,0,0,3,0,0,Cliente Leal,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,4,2,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,19,5,3,2,0,1,2,1,2,Cliente No Segmentado,Si
Si,19,3,1,0,0,0,3,0,7,Cliente Leal,Si
Si,10,0,0,3,0,0,1,0,3,Cliente Objetivo,Si
No,9,3,0,1,0,1,1,0,3,Cliente Leal,Si
No,10,1,0,3,1,2,0,0,3,Cliente Objetivo,No
No,9,1,0,4,0,0,3,0,0,Cliente Objetivo,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
Si,18,8,0,0,0,0,1,0,8,Cliente Leal,Si
No,8,4,0,0,0,1,1,0,2,Cliente Leal,Si
Si,6,2,0,0,0,0,2,0,0,Cliente Objetivo,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,15,3,0,6,0,0,5,0,1,Cliente Leal,Si
No,12,1,0,0,0,0,1,0,4,Cliente Objetivo,Si
